Nombre	1 - Tarifa General
Insulina 2HPP - 2 horas postprandial	1000
Exámen En Fresco Salino	120
Bilirrubina Indirecta	180
T4 Libre	525
Antígeno De Dengue	350
Glucosa Tolerancia Oral (2h)	610
Curva de Insulina - 1 hora (ayuno, 30min, 60min)	2800
Curva de Insulina - 2 horas (ayuno, 30, 60, 90 & 120min)	4600
Curva De Insulina - 3 horas (ayuno, 30,60,90,120 & 180min)	5500
Insulina 4 Horas	900
Insulina 5 Horas	5500
Curva De Insulina - 5 Horas (ayuno, 30, 60, 90, 120, 180, 240, 300 Min)	6600
Cultivo De Secreciones Varias	600
"Glucosa O&#39;sullivan"	430
Electrolitos Na-k-cl:	600
Fenitoina ? Epamin	900
ANA-Elisa	1100
ANCA-Elisa	1500
Anticuerpos Beta 2 Glicoproteina IgG	1500
Anticuerpos Beta 2 Glicoproteina IgM	1700
Beta- 2 Microglobulina En Orina	1600
Proteína de Bence Jones	600
Glucosuria	100
17-Alfa-Hidroxiprogesterona	2000
Cultivo de heces	600
Cultivo Liquido Peritoneal	700
Cultivo de Líquido Pleural	700
Glucosa	180
Tinta china	250
Antígeno E Hepatitis B	400
Hematocrito	190
Anti Centromero B	1600
Examen por Cryptosporidium (Giardia) en heces	600
Antígeno por Clostridium difficile	900
Duo Adenovirus / Rotavirus	300
"Test de O&#39;Sullivan"	430
Anticuerpos Covid-19 IgG / IgM	575
Anticuerpos SARS-CoV-2 IgG / IgM	575
Interleucina 6 (IL-6)	1500
RT-PCR SARS-CoV-2 (COVID-19)	3500
Antígeno SARS-CoV-2 (Covid-19)	1700
Proteinas	180
Detección cuantitativa de SARS-CoV-2 Inmunofluorescencia (ELISA)	1500
ELISA SARS-COV-2 (COVID-19)	1500
Perfil Colesteroles	720
Bilirrubinas	180
Tiempos de Tromboplastina Parcial	250
Determinacion de anticuerpos Neutralizantes anti-SARS-CoV-2(nAb), FIA-cuantitativa	1500
Cloruro en orina	250
Electrolitos en ORINA(sodio,potasio,cloruro)	600
"Glucosa O&#39;Sullivan"	430
